Model type,Window size,Method,Parameters,MTS,STD
TimeSeriesKMedoids,300,difference,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8915,0.0332
BOSSEnsemble,300,concat,{'feature_selection': 'chi2'},0.883,0.0211
TimeSeriesKMeans,300,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8816,0.0373
TimeSeriesKMeans,300,difference,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8733,0.0213
ShapeDTW,300,difference,{'shape_descriptor_function': 'raw'},0.8706,0.0557
BOSSEnsemble,300,difference,{'feature_selection': 'none'},0.8569,0.0306
