Model type,Window size,Method,Parameters,MTS,STD
TimeSeriesKMeans,300,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8756,0.047
BOSSEnsemble,300,concat,{'feature_selection': 'none'},0.865,0.0391
BOSSEnsemble,300,ai,{'feature_selection': 'none'},0.8584,0.0638
