,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
24,0.2739284038543701,0.019594319794299,0.0033808231353759,0.000389155665431,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8994601889338731,0.8994601889338731,0.818365660224735,0.8643962848297215,0.8832277253329884,0.8729820096510382,0.0302119941131553,1,0.874886848571059,0.858725761772853,0.8951401717502271,0.8791773719763852,0.8829778821778265,0.8781816072496701,0.0118403890853725,ai,300,TimeSeriesKMeans,cb762cccb4,,
22,73.96182808876037,1.2943350915446097,0.7431982040405274,0.1955179398342011,,,,,{'feature_selection': 'none'},0.9425714950011628,0.8848739495798319,0.7679738562091503,0.7583333333333333,1.0,0.8707505268246957,0.0951460122879669,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,900,BOSSEnsemble,e52c627f3a,none,
34,74.67158002853394,1.0459770935085997,0.7513185977935791,0.1630536931435265,,,,,{'feature_selection': 'none'},0.8823529411764706,0.9420383538030596,0.7101917690152985,0.8791666666666667,0.9388528138528138,0.8705205089028617,0.0845034595391953,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,900,BOSSEnsemble,e52c627f3a,none,
2,158.3549823284149,0.9863185158112862,4.646849060058594,0.644424768899144,,,,,{'feature_selection': 'chi2'},0.843700779348293,0.8947368421052632,0.8784339394931168,0.8483867897592082,0.8805009155886347,0.8691518532589033,0.0197407954259273,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,BOSSEnsemble,e52c627f3a,chi2,
14,88.07144193649292,0.6862004181255709,1.3154591560363769,0.2525973789235351,,,,,{'feature_selection': 'none'},0.8805009155886347,0.8632283048759022,0.8623234916559692,0.8165007112375533,0.8947368421052632,0.8634580530926644,0.0263634359374711,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,BOSSEnsemble,e52c627f3a,none,
12,0.4347374439239502,0.0066734310261273,0.1859375,0.0045362928988728,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8832277253329884,0.8165007112375533,0.9321981424148608,0.817705802968961,0.8659469185784975,0.8631158601065723,0.0434048594910776,1,0.8619230746786024,0.8746191594762426,0.8538822785118135,0.8824040454594817,0.8622318625968526,0.8670120841445985,0.010157956483126,difference,300,TimeSeriesKMeans,cb762cccb4,,
29,0.2539843559265137,0.0079876819517621,0.1916275024414062,0.0031589228875916,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8101867572156196,0.84375,0.9201680672268908,0.8818181818181818,0.84375,0.8599346012521384,0.0376979897166557,1,0.834221683827983,0.8731570275601125,0.7970407306802848,0.8066416456838804,0.8257385428398162,0.8273599261184155,0.0264408315271725,ai,600,TimeSeriesKMedoids,c42fbe82af,,
25,20.776878452301027,0.7767916762126272,0.2799952983856201,0.0281764178010838,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8670360110803325,0.8304953560371517,0.8483867897592082,0.8820786142571619,0.8403117326785524,0.8536617007624814,0.0185963384079206,1,0.8451864776699481,0.8541795868680512,0.8736556581326734,0.8415233415233416,0.875994684303242,0.8581079496994513,0.014276639762986,ai,300,TimeSeriesKMedoids,c42fbe82af,,
15,28.20840678215027,0.2589918144417264,11.057661294937134,0.2735011496581082,,,,,{'shape_descriptor_function': 'raw'},0.849864218285271,0.911284295932529,0.8483867897592082,0.800291241938839,0.8483867897592082,0.851642667135011,0.0352660094441734,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,300,ShapeDTW,e8df20c70e,,raw
26,87.36878914833069,0.4626558712688807,1.1878920078277588,0.207503875543075,,,,,{'feature_selection': 'none'},0.8757980143055407,0.8820786142571619,0.8084795321637427,0.815910744603444,0.8146949652612543,0.8393923741182288,0.0324482309572275,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,BOSSEnsemble,e52c627f3a,none,
10,166.74524273872376,1.4416293371933369,0.622352409362793,0.2172717215144479,,,,,{'feature_selection': 'none'},0.8868092691622103,0.7239819004524887,0.8193443385259241,1.0,0.7583333333333333,0.8376937682947914,0.0983064742263723,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,900,BOSSEnsemble,e52c627f3a,none,
8,0.1951704502105712,0.0027345858898645,0.1989771842956543,0.0013752246892528,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8172549019607842,0.5084033613445379,0.8193443385259241,1.0,0.9388528138528138,0.816771083136812,0.1694545912725771,1,0.9253233208176888,0.5867768595041322,0.8017104846373139,0.9113769099168192,0.8382299799607976,0.8126835109673504,0.1218482320918249,concat,900,TimeSeriesKMeans,cb762cccb4,,
19,23.89896354675293,0.1226383477453188,6.838776540756226,0.3189723280529979,,,,,{'shape_descriptor_function': 'paa'},0.84,0.6999999999999998,0.871007371007371,0.871007371007371,0.7967032967032965,0.8157436077436078,0.0639619508824746,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,600,ShapeDTW,e8df20c70e,,paa
31,24.075499868392946,0.4131162813795168,7.202148008346557,0.1129883155737796,,,,,{'shape_descriptor_function': 'paa'},0.8308771929824562,0.6999999999999998,0.7999999999999999,0.7999999999999999,0.9105263157894736,0.8082807017543858,0.0675671775653606,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,600,ShapeDTW,e8df20c70e,,paa
3,56.08322205543518,0.3368719605629107,15.273811721801758,0.0487004295140749,,,,,{'shape_descriptor_function': 'paa'},0.889032020610968,0.8307510348905973,0.7750020211819871,0.760349490326607,0.760349490326607,0.8030968114673532,0.0501868516930448,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,300,ShapeDTW,e8df20c70e,,paa
23,25.07564377784729,0.2224409602938594,7.8946655750274655,0.1795058089506747,,,,,{'shape_descriptor_function': 'paa'},0.7647058823529411,0.8047058823529412,0.6280734516028632,0.8645833333333333,0.9388528138528138,0.8001842726989785,0.104189730002633,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,900,ShapeDTW,e8df20c70e,,paa
9,130.080721282959,1.8973400064462949,1.0950469017028808,0.069210298779651,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.7955182072829132,0.8754901960784314,0.826115061409179,0.7291666666666666,0.6858974358974359,0.7824375134669251,0.067668905979176,1,0.8130434782608696,0.6161616161616161,0.9237348017835822,0.8296170967027212,0.7215461155759664,0.7808206216969511,0.1043742559329011,concat,900,TimeSeriesKMedoids,c42fbe82af,,
27,27.777921867370605,0.2722971603444708,8.30424132347107,0.1040800750637793,,,,,{'shape_descriptor_function': 'paa'},0.7324561403508774,0.804825451051564,0.7069177961626475,0.7204077387143749,0.79003359462486,0.7509281441808648,0.0390993011455721,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,300,ShapeDTW,e8df20c70e,,paa
7,48.15806913375855,0.5511126693019567,13.698844528198242,0.1314675292080807,,,,,{'shape_descriptor_function': 'paa'},0.7463157894736843,0.7999999999999999,0.6428571428571428,0.764957264957265,0.7999999999999999,0.7508260394576183,0.0578160415680821,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,600,ShapeDTW,e8df20c70e,,paa
5,98.56588206291198,4.383552007794065,0.7997760772705078,0.0363454125186541,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.6617543859649122,0.8030303030303031,0.7299651567944251,0.8333333333333334,0.7153846153846154,0.7486935589015179,0.0618628026086498,1,0.7039904705181655,0.7292954764585707,0.7472794959908362,0.7796036482959977,0.7515092947207359,0.7423356771968612,0.0250515467910261,concat,600,TimeSeriesKMedoids,c42fbe82af,,
35,25.167503929138185,0.3743511467017159,7.882452297210693,0.1089157227877319,,,,,{'shape_descriptor_function': 'paa'},0.744343891402715,0.8047058823529412,0.8047058823529412,0.7835714285714286,0.495,0.7264654169360052,0.1178135106928217,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,900,ShapeDTW,e8df20c70e,,paa
1,88.66006350517273,2.3296908380976253,0.844867753982544,0.0285174787041628,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.784402867634202,0.8150533676849466,0.5875497784750116,0.7623268698060943,0.6077048290830168,0.7114075425366543,0.0946134778372893,1,0.8025428740390301,0.7948960137132464,0.565147785190512,0.7872587899748195,0.7191135734072022,0.7337918072649621,0.0894152204034344,concat,300,TimeSeriesKMedoids,c42fbe82af,,
0,0.2170763969421386,0.0065639874045481,0.1952100276947021,0.0020270659337308,mean,forgy,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8724877327418162,0.5525506072874494,0.6313540260908682,0.8562685784228012,0.6313540260908682,0.7088029941267606,0.1303459135530399,1,0.8714636993616651,0.538425783910532,0.5339489073561096,0.8617148932938405,0.5821552620517244,0.6775417091947743,0.1553037074365058,concat,300,TimeSeriesKMeans,cb762cccb4,,
11,50.58322644233704,0.3434162929435788,14.917747259140016,0.4596097621035589,,,,,{'shape_descriptor_function': 'paa'},0.6591970121381886,0.6280734516028632,0.6280734516028632,0.806159420289855,0.6392857142857143,0.6721578099838968,0.0679585900805961,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,900,ShapeDTW,e8df20c70e,,paa
