Model type,Window size,Method,Parameters,MTS,STD
BOSSEnsemble,300,concat,{'feature_selection': 'chi2'},0.8696,0.0377
TimeSeriesKMeans,300,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8677,0.0287
TimeSeriesKMedoids,300,difference,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8677,0.0258
TimeSeriesKMeans,300,difference,"{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.8606,0.0387
