Model type,Window size,Method,Parameters,MTS,STD
TimeSeriesKMeans,300,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.9027,0.0284
BOSSEnsemble,300,concat,{'feature_selection': 'chi2'},0.901,0.0519
TimeSeriesKMedoids,300,difference,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8986,0.0596
ShapeDTW,300,difference,{'shape_descriptor_function': 'paa'},0.874,0.0275
TimeSeriesKMeans,300,difference,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8729,0.0422
TimeSeriesKMedoids,300,ai,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.865,0.0289
