model_type	window_size	method	params	mean_test_score	std_test_score	0
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8986	0.0596	
ShapeDTW	300.0	difference	{'shape_descriptor_function': 'paa'}	0.874	0.0275	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8729	0.0422	
TimeSeriesKMedoids	300.0	ai	{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}	0.865	0.0289	
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
BOSSEnsemble	300.0	concat	{'feature_selection': 'chi2'}	0.8696	0.0377	
TimeSeriesKMeans	300.0	ai	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8677	0.0287	
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8677	0.0258	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}	0.8606	0.0387	
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
TimeSeriesKMeans	300.0	ai	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.875	0.0343	
BOSSEnsemble	300.0	concat	{'feature_selection': 'chi2'}	0.8746	0.0347	
TimeSeriesKMedoids	300.0	difference	{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}	0.8709	0.0718	
BOSSEnsemble	300.0	ai	{'feature_selection': 'none'}	0.8584	0.0554	
ShapeDTW	300.0	difference	{'shape_descriptor_function': 'raw'}	0.8574	0.0594	
BOSSEnsemble	300.0	difference	{'feature_selection': 'none'}	0.8571	0.0575	
TimeSeriesKMeans	300.0	difference	{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}	0.8563	0.0434	
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
						-------------------------------------------------------------------------------------
