,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
21,4137.87545671463,30.793123043479525,14.205551052093506,4.208115667129079,,,,,{'feature_selection': 'none'},0.8723002381538967,0.8252693717568275,0.8983516483516484,0.9229559748427671,0.8722109533468559,0.878217637290399,0.0325008059466716,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,BOSSEnsemble,e52c627f3a,none,
20,3912.60026717186,24.57622379444308,7.109304714202881,2.010757197668025,,,,,{'feature_selection': 'chi2'},0.9271912756233314,0.902439024390244,0.826036866359447,0.8740703177822853,0.8015345268542198,0.8662544022019055,0.0466686841809595,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,BOSSEnsemble,e52c627f3a,chi2,
8,11090.40556974411,72.54621161105516,3.9525237560272215,0.9449860917052786,,,,,{'feature_selection': 'chi2'},0.8515947467166978,0.703189493433396,0.820230607966457,0.7,0.7188640973630832,0.7587757890959268,0.0640771822765715,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,BOSSEnsemble,e52c627f3a,chi2,
33,3623.3901422977447,28.37967276071669,8.488054990768433,1.1265118355780033,,,,,{'feature_selection': 'none'},0.6996782716537557,0.6892254087376039,0.7175052410901468,0.8091151792524791,0.637070938215103,0.7105190077898176,0.0560991449625419,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,BOSSEnsemble,e52c627f3a,none,
9,11111.270598316192,103.94986609830278,19.344033098220827,6.021831280270216,,,,,{'feature_selection': 'none'},0.6467931345980127,0.7928169391584026,0.7217868338557993,0.6572727272727273,0.7261904761904763,0.7089720222150836,0.0529711163083333,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,BOSSEnsemble,e52c627f3a,none,
32,3329.179897975921,19.20524022133244,1.8105731010437007,0.1044785507968155,,,,,{'feature_selection': 'chi2'},0.4090853658536585,0.5626807027948699,0.6553030303030303,0.6061381074168798,0.7030303030303029,0.5872475018797483,0.1007366281939753,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,BOSSEnsemble,e52c627f3a,chi2,
29,14585.202491855622,525.7755286124043,44.41912350654602,4.017958500885969,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.6863963229297947,0.5856338783168051,0.6041666666666666,0.5546875,0.5,0.5861768735826532,0.0612958395253986,1,0.5467673672907548,0.5821664769847078,0.5679012345679012,0.5419107044877439,0.597017234444135,0.5671526035550485,0.020835471427216,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
17,12023.896117830276,647.743515539495,36.27943987846375,2.4729928645616046,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5647417503586801,0.6053915275994864,0.4992163009404389,0.5916666666666667,0.5230769230769231,0.5568186337284391,0.0402318753629963,1,0.5956465151592432,0.5317416877012735,0.5526290946851694,0.4733947587473808,0.5490525433979361,0.5404929199382006,0.0396010612431583,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
7,57040.31472549438,2502.9320231705565,151.68411288261413,21.72142962909104,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5856338783168051,0.4812624692201231,0.5120545073375261,0.6785714285714286,0.5033091202582728,0.5521662807408313,0.0722795523917008,1,0.5824964823768174,0.5644978033631268,0.5765079365079366,0.5356011461094271,0.5590165664239738,0.5636239869562563,0.0163060646855719,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
31,14259.442071962356,337.11458823395304,46.801831579208375,1.5335985740788984,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.6626605396488747,0.533654216997578,0.5278143515470705,0.5120545073375261,0.5221856484529296,0.5516738527967957,0.0559486808828771,2,0.5260599513907642,0.5174350261467864,0.5116203238414293,0.5938147616770285,0.5369157035823703,0.5371691533276757,0.0295783096657856,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
19,11619.588081645965,313.4821435067021,37.13608822822571,1.6342526687873722,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5630928184281844,0.5527770646127513,0.4992163009404389,0.625,0.4599999999999999,0.540017236796275,0.056541737268182,2,0.5076308784383319,0.5280445600196039,0.5526290946851694,0.5469492921082689,0.5066958624827578,0.5283899375468264,0.0191503373030677,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
5,58959.4895108223,2518.991404289669,136.95616178512574,11.667816543176622,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5658208097232487,0.5141562422649988,0.4992163009404389,0.6301452784503632,0.4865203761755486,0.5391718015109196,0.0528786080853538,2,0.5630283699848917,0.5750755468441353,0.5407407407407407,0.523412086971409,0.5968325227584487,0.559817853459925,0.0257002195724454,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
30,0.5676666259765625,0.1164292667918921,0.0047324657440185,0.0005952468200434,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.533654216997578,0.4619364375461936,0.636039886039886,0.6041666666666666,0.45,0.5371594414500649,0.0742089828823714,3,0.5723368100316418,0.4653349001175088,0.5475475475475475,0.5116219667943805,0.4682843763303533,0.5130251201642864,0.0423974872690754,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
18,0.498179292678833,0.0640497631375896,0.0049615859985351,0.0004341894047806,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.5388780789477653,0.5180864852126782,0.4563492063492063,0.6300773694390716,0.527143778207608,0.534106983631266,0.0558291909843167,3,0.533548622815185,0.5219165927240461,0.4834656084656084,0.5184143496222093,0.5191471784473627,0.5152984704148823,0.0168209391067727,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
6,0.5497519016265869,0.0233635100725864,0.0041223049163818,0.0004218602457987,,random,euclidean,2.0,"{'init_algorithm': 'random', 'metric': 'euclidean', 'n_clusters': 2}",0.4954187637114466,0.5092915214866434,0.5773921200750468,0.5817460317460317,0.505050505050505,0.5337797884139347,0.0376813246269718,3,0.518511146656565,0.5390325800103484,0.5226381461675579,0.5208682832596208,0.5399505306443023,0.5282001373476788,0.0093164577767965,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
28,0.4092902660369873,0.1310531946551285,0.004707908630371,0.000975127133868,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4619364375461936,0.4619364375461936,0.4807692307692308,0.6041666666666666,0.45,0.4917617545056569,0.0570593428964544,4,0.4653349001175088,0.4653349001175088,0.4606837606837607,0.5116219667943805,0.4682843763303533,0.4742519808087024,0.0188427885900425,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
16,0.3486875534057617,0.0928950526372792,0.0044348716735839,0.0006459749324761,,forgy,euclidean,2.0,"{'init_algorithm': 'forgy', 'metric': 'euclidean', 'n_clusters': 2}",0.4619364375461936,0.4619364375461936,0.4807692307692308,0.4807692307692308,0.527143778207608,0.4825110229676914,0.023852788729893,4,0.4823083953518736,0.4653349001175088,0.4606837606837607,0.4775373931623931,0.5191471784473627,0.4810023255525797,0.0206254875105813,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
