Model type,Window size,Method,Parameters,MTS,STD
TimeSeriesKMeans,300,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.881,0.0335
BOSSEnsemble,300,concat,{'feature_selection': 'none'},0.8722,0.0259
TimeSeriesKMedoids,300,difference,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8697,0.031
BOSSEnsemble,300,ai,{'feature_selection': 'none'},0.8689,0.0254
BOSSEnsemble,300,difference,{'feature_selection': 'none'},0.8636,0.0201
TimeSeriesKMedoids,300,ai,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8618,0.0186
ShapeDTW,300,difference,{'shape_descriptor_function': 'paa'},0.8535,0.0359
TimeSeriesKMeans,300,difference,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8512,0.0258
