,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_averaging_method,param_init_algorithm,param_metric,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,model_type,gridsearch_hash,param_feature_selection,param_shape_descriptor_function
6,3397.9457516670227,49.27042258155952,16.03152976036072,5.421962590313475,,,,,{'feature_selection': 'chi2'},0.8545918367346937,0.951530612244898,0.9290496478567082,1.0,0.9274005427106972,0.9325145279093994,0.046959566533448,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,BOSSEnsemble,e52c627f3a,chi2,
2,11968.132385873794,77.83955157441503,42.908212947845456,13.00492013651279,,,,,{'feature_selection': 'none'},0.7733656174334139,0.7733656174334139,0.7733656174334139,0.8179448927871741,0.8179448927871741,0.791197327574918,0.0218392955439484,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,BOSSEnsemble,e52c627f3a,none,
10,3362.8874278068542,94.55628056731686,3.8619995594024656,2.318201342381096,,,,,{'feature_selection': 'chi2'},0.5568513119533528,0.7142857142857143,0.813109243697479,0.7564974010395841,0.8699606377051243,0.7421408617362509,0.1064787707347677,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,BOSSEnsemble,e52c627f3a,chi2,
1,41462.03652062416,1193.617807049451,129.27795114517212,4.663120226891156,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5266955266955267,0.5696934644303066,0.6270676691729323,0.6618976580333231,0.6676084317404261,0.610592550014503,0.0545268743877731,1,0.6108433734939759,0.5665725101362388,0.5839999337276115,0.6673354970730807,0.5865178057882746,0.6030538240438363,0.0351003916457652,concat,6400,TimeSeriesKMedoids,c42fbe82af,,
9,9896.08168911934,262.1971170419196,30.39096131324768,0.5734327418355016,,forgy,dtw,2.0,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.5551470588235294,0.62227602905569,0.5153061224489796,0.6290465631929048,0.7139024390243902,0.6071356425090988,0.0681820242824062,1,0.5894594420462599,0.6197706414754708,0.526089180888152,0.6347950253339475,0.6152206816989242,0.5970669942885509,0.0383774442478003,ai,6400,TimeSeriesKMedoids,c42fbe82af,,
5,10009.199923849106,274.48277135340174,32.667486572265624,1.3104491764361244,,random,dtw,2.0,"{'init_algorithm': 'random', 'metric': 'dtw', 'n_clusters': 2}",0.5858585858585859,0.5918367346938774,0.6651785714285714,0.6122738001573563,0.5578661681974225,0.6026027720671626,0.0357963643638543,1,0.5839989170163802,0.6011131297338367,0.5204140012958494,0.5865178057882746,0.628763379165015,0.5841614465998711,0.035625854591573,difference,6400,TimeSeriesKMedoids,c42fbe82af,,
0,50668.79120192528,5236.435604031408,152.4584882259369,11.420299429159453,mean,kmeans++,dtw,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'dtw', 'n_clusters': 2}",0.5551470588235294,0.5031055900621118,0.5031055900621118,0.5229555236728838,0.5229555236728838,0.5214538572587041,0.0190423719844035,1,0.5266063322015946,0.5128836513938968,0.5128836513938968,0.5079586281981492,0.5079586281981492,0.5136581782771372,0.0068384825223575,concat,6400,TimeSeriesKMeans,cb762cccb4,,
3,1248.4257209777832,6.3014457636514845,494.7331834793091,15.757267982952744,,,,,{'shape_descriptor_function': 'raw'},0.7304372041214146,0.5637755102040817,0.4853801169590642,0.561529933481153,0.2240934314105045,0.5130432392352435,0.1651920691688932,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,concat,6400,ShapeDTW,e8df20c70e,,raw
4,0.6092127323150635,0.0508845115472762,0.0038855075836181,0.0001998645756117,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.5031055900621118,0.5031055900621118,0.5031055900621118,0.5229555236728838,0.5229555236728838,0.5110455635064206,0.0097244417549026,1,0.5099960280683172,0.5099960280683172,0.5099960280683172,0.5215889389105002,0.505092005769483,0.511333805776987,0.0054680301848691,difference,6400,TimeSeriesKMeans,cb762cccb4,,
8,0.4145845890045166,0.0215712976393283,0.0032959938049316,0.0002631858883114,mean,kmeans++,euclidean,2.0,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.5031055900621118,0.5031055900621118,0.5031055900621118,0.5229555236728838,0.5229555236728838,0.5110455635064206,0.0097244417549026,1,0.5266063322015946,0.5099960280683172,0.5266063322015946,0.5215889389105002,0.5215889389105002,0.5212773140585014,0.006070560145949,ai,6400,TimeSeriesKMeans,cb762cccb4,,
7,446.6436822414398,5.591440153457445,174.3611629962921,8.467538419262208,,,,,{'shape_descriptor_function': 'raw'},0.2319837025719378,0.5343915343915343,0.6017316017316018,0.5229555236728838,0.5239778484741369,0.4830080421684188,0.1288589090792892,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,difference,6400,ShapeDTW,e8df20c70e,,raw
11,449.7119545936585,3.894785280370768,174.96836824417113,7.953897128886259,,,,,{'shape_descriptor_function': 'raw'},0.6090011200488749,0.4557977473462442,0.2372448979591836,0.4390243902439024,0.4672473867595818,0.4416631084715574,0.1188697783738603,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,ShapeDTW,e8df20c70e,,raw
