Model type,Window size,Method,Parameters,MTS,STD
TimeSeriesKMedoids,300,difference,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8768,0.0339
TimeSeriesKMeans,300,ai,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8765,0.0408
BOSSEnsemble,300,concat,{'feature_selection': 'chi2'},0.8724,0.0337
BOSSEnsemble,300,difference,{'feature_selection': 'none'},0.8714,0.0361
TimeSeriesKMeans,300,difference,"{'averaging_method': 'mean', 'init_algorithm': 'kmeans++', 'metric': 'euclidean', 'n_clusters': 2}",0.8656,0.0252
TimeSeriesKMedoids,300,ai,"{'init_algorithm': 'forgy', 'metric': 'dtw', 'n_clusters': 2}",0.8577,0.0579
ShapeDTW,300,difference,{'shape_descriptor_function': 'paa'},0.8561,0.0482
